shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes,review_priority,interpretation,notes
nstxuG142301E34,1,2,2,0,0,0,2,4,23.655395194051938,23.655395194051938,1.0,1.0,31.660019237982134,,4,37,0,0,2,4,1.0,0,0,1,SPARSE_MISSING_COUNTERPARTS,"Two informative modes: inner lower crossing pairs lack nearby logged counterparts; near-axis packets lie between the datcon crossings. The 14.6-32.1 interval distances are not identified shifts. Review complete branch correspondence, including outer upper crossings."
nstxuG142301E55,1,5,5,0,0,0,5,6,3.8140203011853724,3.8140203011853724,0.6666666666666666,1.0,7.063563419659641,,4,16,0,5,6,8,0.75,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301E77,1,8,8,0,0,0,8,22,0.006694992523781362,2.7438837099391655,0.6363636363636364,0.5,7.519487717891105,,14,61,0,0,33,74,0.8243243243243243,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301F62,1,10,10,0,0,0,10,10,4.47880521519367,4.47880521519367,1.0,1.0,8.16796602362177,,10,68,0,11,11,11,1.0,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301F66,1,3,3,0,0,0,3,6,17.946627352710706,17.946627352710706,1.0,1.0,33.25132927030618,,6,20,0,2,10,20,1.0,0,0,1,SPARSE_DISCREPANCY,Three modes: upper crossings displaced by 5.81-6.72 intervals; inner lower crossings have no nearby counterpart and must not be treated as identified 29-34 interval shifts.
nstxuG142301F83,1,25,25,0,0,0,25,31,3.97994351332156,4.109952718998278,0.9354838709677419,0.8709677419354839,16.902183133581005,,29,73,0,16,31,44,0.9090909090909091,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301K79,1,9,9,0,0,0,9,12,5.181188424141602,5.181188424141602,1.0,1.0,6.606926379919014,,12,31,0,7,10,14,1.0,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301L89,1,7,7,0,0,0,7,10,4.646043106040754,5.4950223149329736,1.0,0.7,114.3597976714294,,10,46,0,4,23,42,1.0,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301M32,1,6,6,0,0,0,6,12,3.4351033992546465,3.5223102215820035,0.9166666666666666,0.8333333333333334,26.962675029748624,,11,37,0,0,8,16,0.9375,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301S94,1,1,1,0,0,0,1,1,4.119075233486047,4.119075233486047,1.0,1.0,4.119075233486047,,1,1,0,0,1,1,1.0,0,0,1,SPARSE_DISCREPANCY,Only one raw N1 mode (6393); sharp structure near logged r=0.56 versus datcon r=0.5806. N2 has 28/28 interior comparisons within two intervals.
nstxuG142301U85,1,21,21,0,0,0,21,41,1.3246593122065775,3.6142893860712677,0.7317073170731707,0.5853658536585366,20.72545202564875,,30,73,0,2,32,63,0.8095238095238095,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
