shot,audit_cohort,primary_mode_cohort,source_data_root,audit_created_utc,n_raw_n1_modes,n_primary_modes,n_informative_modes,n_interior_crossings,fraction_abs_gt_2,median_abs_grid,n1_status,current_registry_scope,group_error,source_summary,notes,production_sorting_status
nstxuE202926A03t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,9,2,1,1,0.0,0.7408354286584595,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202926A03t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,69,0,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE202926A03t037,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,65,18,18,18,0.2222222222222222,1.3512821243191753,MODEST_SUBSET_OFFSET,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,A minority of interior comparisons have roughly 2-3.5 interval main-branch offsets; representative signed profiles supplied. Does not establish a large shot-wide shift.,unchecked
nstxuE202944A02t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,49,13,11,11,0.0,0.7145884460401764,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202944A02t021,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,9,6,3,3,0.0,0.7535125983269775,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202944A02t023,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,58,23,22,22,0.0,0.8504358316999083,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202944A02t028,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,42,15,13,15,0.2,1.1996111424032174,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE202947A03t015,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,8,6,2,4,0.0,0.37680616019566404,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202947A03t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,11,4,4,4,0.0,0.76991294329255,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202947A03t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,8,3,2,2,0.0,0.7090520795348221,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202947A03t037,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,221,75,72,72,0.08333333333333333,1.1221501929864348,MODEST_SUBSET_OFFSET,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,A minority of interior comparisons have roughly 2-3.5 interval main-branch offsets; representative signed profiles supplied. Does not establish a large shot-wide shift.,unchecked
nstxuE203262A04t018,pilot,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:01:23.358161+00:00,9,1,0,0,,,NO_USABLE_INTERIOR_CROSSING_COMPARISONS,,,audits/n1_pilot_alignment_20260910/pilot_n1_summary.csv,NO_USABLE_INTERIOR_CROSSING_COMPARISONS,checked_post_training
nstxuE203262A04t022,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,10,8,4,4,0.0,0.6290268454082759,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203262A04t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,19,11,2,2,0.0,0.11175092784630469,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203609A01t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,6,4,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE203609A01t020,pilot,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:01:23.358161+00:00,4,0,0,0,,,NO_USABLE_INTERIOR_CROSSING_COMPARISONS,,,audits/n1_pilot_alignment_20260910/pilot_n1_summary.csv,NO_USABLE_INTERIOR_CROSSING_COMPARISONS,checked_post_training
nstxuE203609A01t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,31,2,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE203609A01t037,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,79,18,15,17,0.11764705882352941,0.42768250102486194,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE203653A02t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,5,4,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE203653A02t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,3,2,2,2,0.0,0.6960668267647963,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203653A02t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,7,4,3,3,0.0,0.39342334663034495,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203653A02t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,36,14,9,9,0.0,0.977492070537922,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203655F01t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,11,8,1,3,0.0,0.2922047010094797,LIMITED_LOG_COVERAGE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Seven of eight TAE-side N1 modes have incomplete singularity blocks. One matched mode cannot clear the shot. Plotted incomplete-log modes have predominantly edge structure and provide no reliable core alignment test.,unchecked
nstxuE203655F01t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,8,6,4,4,0.0,0.520244226179617,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203655F01t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,27,22,15,15,0.0,0.571815624788119,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203655F01t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,22,4,4,4,0.0,0.35020448560587614,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203656A02t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,4,0,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE203656A02t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,5,3,2,2,0.0,0.5734695643104443,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203656A02t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,27,26,23,23,0.0,0.2450797954222761,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203656A02t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,40,4,4,4,0.0,0.6200021977499803,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203963A01t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,20,10,1,2,0.5,9.7247818866654,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE203963A01t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,21,5,5,8,0.0,0.2746720194435892,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE203963A01t025,pilot,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:01:23.358161+00:00,21,3,3,3,0.0,0.4234451106543302,NO_SYSTEMATIC_OFFSET_FOUND,,,audits/n1_pilot_alignment_20260910/pilot_n1_summary.csv,NO_SYSTEMATIC_OFFSET_FOUND,checked_post_training
nstxuE203963A01t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,65,32,29,31,0.12903225806451613,1.1375130323670435,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE203981A01t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,10,1,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE203981A01t019,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,11,6,3,5,0.4,0.762913379900787,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE203981A01t022,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,31,18,15,16,0.1875,1.0333607537943656,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE203981A01t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,80,19,19,19,0.0,0.7224346434730577,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204118F01t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,26,6,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE204118F01t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,37,4,3,6,0.0,0.6557629374436769,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204118F01t035,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,52,0,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE204118F01t040,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,12,0,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE204186A01t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,12,7,1,1,0.0,0.4806110796162777,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204186A01t020,pilot,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:01:23.358161+00:00,88,22,19,24,0.0,0.3292726346725894,NO_SYSTEMATIC_OFFSET_FOUND,,,audits/n1_pilot_alignment_20260910/pilot_n1_summary.csv,NO_SYSTEMATIC_OFFSET_FOUND,checked_post_training
nstxuE204186A01t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,56,18,13,14,0.0,0.6532443634526625,NEAR_AXIS_LOG_CORRESPONDENCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,N1/8681 has two upper crossings below r=0.03 with no logged singularities. Outside the primary screen; other usable interior comparisons align.,unchecked
nstxuE204186A01t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,71,9,8,8,0.0,0.07155930096147678,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204621A03t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,28,14,10,14,0.0,0.23463961106852116,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204621A03t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,46,16,15,15,0.0,0.4325844636516085,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204621A03t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,74,35,34,34,0.0,0.5291844166773252,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204621A03t030,pilot,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:01:23.358161+00:00,74,2,1,2,0.0,0.46549914146525595,NO_SYSTEMATIC_OFFSET_FOUND,,,audits/n1_pilot_alignment_20260910/pilot_n1_summary.csv,NO_SYSTEMATIC_OFFSET_FOUND,checked_post_training
nstxuE204636A01t017,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,16,9,4,4,0.0,0.23384611312942394,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204636A01t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,42,13,6,7,0.0,0.6648181023966582,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204636A01t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,3,2,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE204645A16t015,pilot,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:01:23.358161+00:00,15,9,0,0,,,NO_USABLE_INTERIOR_CROSSING_COMPARISONS,,,audits/n1_pilot_alignment_20260910/pilot_n1_summary.csv,NO_USABLE_INTERIOR_CROSSING_COMPARISONS,checked_post_training
nstxuE204645A16t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,4,3,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE204645A16t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,14,5,4,4,0.0,0.7776099098302736,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204645A16t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,17,1,1,1,0.0,1.2161447582200946,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE204669M03t015,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,17,4,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE204669M03t020,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,2,0,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
nstxuE204669M03t025,training,training_list_before_confirmed_exclusions,/p/hym/ebelova/NOVA/data_mixed,2026-09-10T20:33:56.892186+00:00,82,32,28,28,0.0,0.5545727633818692,NO_SYSTEMATIC_OFFSET_FOUND,,,audits/n1_training_alignment_20260910/training_n1_summary.csv,NO_SYSTEMATIC_OFFSET_FOUND: all 28 informative training crossings within two grid intervals; four modes have no crossings.,training
nstxuE204669M03t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,61,0,0,0,,,NO_USABLE_CORE_COMPARISON,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.,unchecked
