path,before,after,action,manual_reason,input_fingerprint
nstxuE202947A03t015/N6/egn06w.1062E+01,BAD,BAD,KEEP_RULE_DECISION,,65632535d94ca5fb61ba1124265fbb78421814d00ef4749b0789fde679253bc3
nstxuE202947A03t015/N6/egn06w.2056E+01,GOOD,GOOD,KEEP_RULE_DECISION,,e09123c9800bf582aa1a7fc4e323d0dd839a64b19da8aa6e20bb989e3709a0b0
nstxuE202947A03t015/N7/egn07w.1193E+01,BAD,BAD,KEEP_RULE_DECISION,,d12cea97d899a7792d0cdd2c5d33bef8c9ff607601f3a2608e2ee7aeb2955ae1
nstxuE202947A03t015/N7/egn07w.3289E+01,BAD,BAD,KEEP_RULE_DECISION,,589b1f212bd6cc39806fcf089833ab9c3c0dd86a4c99d6505ff1dc159d9d0837
nstxuE202947A03t015/N8/egn08w.1496E+01,BAD,BAD,KEEP_RULE_DECISION,,47edca2deaf9fc67b180af7573add3fa8d30dc6e223b8658d4859a4e6cdbb747
nstxuE202947A03t015/N8/egn08w.3960E+01,BAD,BAD,KEEP_RULE_DECISION,,48d39f90c2db867d9fb6b56c1686f1eb6e40b2abd183e83913ead9dd16933840
nstxuE202947A03t015/N9/egn09w.2108E+01,GOOD,GOOD,KEEP_RULE_DECISION,,90caee9e2468b4077ed1211edbd8578da4fc68820c73a4d7575d2543ac409cf9
nstxuE202947A03t015/N9/egn09w.3219E+01,BAD,BAD,KEEP_RULE_DECISION,,5a4420e9452f66751518774744e8282ef68f758f6719fe7d6607059274ceb607
nstxuE202947A03t015/N9/egn09w.4140E+01,BAD,BAD,KEEP_RULE_DECISION,,35ed0bef788883990f80b8cab544f5ddad1c629a2f77cff35169db0fce77d814
nstxuE202947A03t015/N10/egn10w.7476E+00,BAD,BAD,KEEP_RULE_DECISION,,cafbb8b5d822f8d32e443b3d98d68b091e5d466b434969839560fe413c1bb9db
nstxuE202947A03t015/N10/egn10w.3495E+01,BAD,BAD,KEEP_RULE_DECISION,,e145adfbd48b0542482a880e9104f75537c95de23fa29f8e2d5ab31888ebfa27
nstxuE202947A03t015/N10/egn10w.3915E+01,BAD,BAD,KEEP_RULE_DECISION,,94b206205a013e2de14cf3ba73556200a6d6036c9f6499f05e4ea82465a7c1f0
nstxuE203262A04t018/N3/egn03w.1291E+02,GOOD,GOOD,KEEP_RULE_DECISION,,dc0dbe66a74fe5e8e63a5592c644b991b38ddcfef663d46d16be46c629cd5973
nstxuE203262A04t018/N4/egn04w.8929E+01,BAD,BAD,KEEP_RULE_DECISION,,8c0bcb1ccd153462c4046849bc599a64b44ecab449716975c882e158b3860293
nstxuE203262A04t018/N4/egn04w.1263E+02,GOOD,GOOD,KEEP_RULE_DECISION,,133cc8ecfd2fa650ca0d4ff17cad0d6079db5aef56ba8b2e4207912ebda03212
nstxuE203262A04t018/N5/egn05w.1322E+02,BAD,BAD,KEEP_RULE_DECISION,,1e1c7958fc3aff0ad2be07d404d05f23a7bf0a76d01e2c9f95ebce8b4300b372
nstxuE203262A04t018/N6/egn06w.4322E+01,BAD,BAD,KEEP_RULE_DECISION,,4f820e7ecdf64ed433fc448724b250c0516b57d9e250e34b24a1b0d1124ae696
nstxuE203262A04t018/N7/egn07w.2226E+01,GOOD,GOOD,KEEP_RULE_DECISION,,e93291bfa9d7d33f290f285b8399e864e704f55c6b4f8492d39ea48c08a1f8ca
nstxuE203262A04t018/N8/egn08w.4882E+01,GOOD,GOOD,KEEP_RULE_DECISION,,9c518affdf8c4df6555c196c6a552c152820a9622295bc04763320d0388af964
nstxuE203262A04t018/N9/egn09w.2705E+01,BAD,BAD,KEEP_RULE_DECISION,,a61ca57b154763e828882efd077cf380119eedeff10f811f40d95efbc557fdbd
nstxuE203262A04t018/N9/egn09w.4938E+01,GOOD,GOOD,KEEP_RULE_DECISION,,c6de0026acbb86085b5e97fb256b25cc3cbe8727f96f0375e4d2446dfa4e0734
nstxuE203262A04t018/N9/egn09w.7920E+01,GOOD,GOOD,KEEP_RULE_DECISION,,064a35d0b209400b94cd5ec952db7b4fc54b0536b9652f5e30dc9c6f34f4fd35
nstxuE203262A04t018/N9/egn09w.8000E+01,GOOD,GOOD,KEEP_RULE_DECISION,,67cb4013256b8951a1ac605b8b8996b6c8cc84034becf34e2605358b1eefcac7
nstxuE203262A04t018/N9/egn09w.1738E+02,GOOD,GOOD,KEEP_RULE_DECISION,,250a9937b8764ac4e79944ca864a94b3b87695bdc257f15992156dc1208497ef
nstxuE203262A04t018/N10/egn10w.2741E+01,BAD,BAD,KEEP_RULE_DECISION,,643e8acda7d139367939fb742b75209814a4e6395dabcc8353776a9f3584f475
nstxuE203262A04t018/N10/egn10w.3061E+01,BAD,BAD,KEEP_RULE_DECISION,,b820e44d0d2d3f9706d5a9cf51b7f46fd4176f6e6d78f2cc02bf18b39f62446c
nstxuE203262A04t018/N10/egn10w.3973E+01,BAD,BAD,KEEP_RULE_DECISION,,2c0709e623a3fec074d259fa94ad6091c5f248b301d574d9c387a85658ef118c
nstxuE203262A04t018/N10/egn10w.4444E+01,BAD,BAD,KEEP_RULE_DECISION,,b7696d5c96e0e41707bce45de810b3616330287266e914d35f04d3af59d7d627
nstxuE203262A04t018/N10/egn10w.4510E+01,BAD,BAD,KEEP_RULE_DECISION,,c133df069e83ad45fb9634cd664dac26badb69295b75cf4fa5260f7498774b41
nstxuE203262A04t018/N10/egn10w.5558E+01,BAD,BAD,KEEP_RULE_DECISION,,22d3e8ac5743206b7465cf0300e9577e24fbdfde3d6af6fdd80856b756232b2a
nstxuE203262A04t018/N10/egn10w.6516E+01,BAD,BAD,KEEP_RULE_DECISION,,38eae558a619898e404243c829ddbc19b3ed08882d5e3835c0785d43ad1095da
nstxuE203262A04t018/N10/egn10w.6623E+01,GOOD,GOOD,KEEP_RULE_DECISION,,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471
nstxuE203262A04t018/N10/egn10w.8331E+01,GOOD,GOOD,KEEP_RULE_DECISION,,d957dfde9f7232bc4988fd3307e905caef795228bdafac1fca8276afeb90cef1
nstxuE203262A04t018/N10/egn10w.8504E+01,GOOD,GOOD,KEEP_RULE_DECISION,,78760303f9daaab49c5ede08da5e7989264dd291260497b827359541429a9888
nstxuE203262A04t018/N10/egn10w.1770E+02,GOOD,GOOD,KEEP_RULE_DECISION,,19fe53325a4381dfe9d4cb7da64056c75e51012ef87f1e8034eaedf17321934c
nstxuE203609A01t020/N6/egn06w.2835E+01,BAD,BAD,KEEP_RULE_DECISION,,91e925976018acffede5271418e311095b1044f15e2728f1902c61463eaec080
nstxuE203609A01t020/N6/egn06w.3722E+01,BAD,BAD,KEEP_RULE_DECISION,,fdbfbb1f0f8f957a3ae154dfb4889e64e54eeacb295e37456af112b6fd1ad9b3
nstxuE203609A01t020/N7/egn07w.2711E+01,GOOD,GOOD,KEEP_RULE_DECISION,,25e3c674aff442608df9d7c411966face4f668cbce34f733d8c98d03fc52a6d2
nstxuE203609A01t020/N7/egn07w.2944E+01,BAD,BAD,KEEP_RULE_DECISION,,0e199d0bc8dde119dd7bb65c654bcec6aacf1926d2bfb704ede9ad41c5304038
nstxuE203609A01t020/N7/egn07w.9477E+01,GOOD,GOOD,KEEP_RULE_DECISION,,5dd0e552aceb1f164da6e61edbc9551d4810a34479bc56b4f47bfee4f72fdff0
nstxuE203609A01t020/N8/egn08w.3324E+01,BAD,BAD,KEEP_RULE_DECISION,,6d28a0382ab207416529bdf732b77d72946c3fc17b6fb3d152bf62301a6e3c37
nstxuE203609A01t020/N8/egn08w.4721E+01,BAD,BAD,KEEP_RULE_DECISION,,4af202fa6c96d73c04712680dd200635410ea8fb7c710876433cddf71c4f983e
nstxuE203609A01t020/N8/egn08w.5439E+01,BAD,BAD,KEEP_RULE_DECISION,,54ce246f91ed2e209c268d4f694c8393e9a9da4493ef8c22a65953fb99855d19
nstxuE203609A01t020/N8/egn08w.5685E+01,BAD,BAD,KEEP_RULE_DECISION,,aa97bcf71ef7b474ac1745e23d9081d4cfdddd226d72cda07af95278f1f355fe
nstxuE203609A01t020/N10/egn10w.4899E+01,BAD,BAD,KEEP_RULE_DECISION,,21b401662960722cd0653b28e389c3c32943da8b5e5d921b381e0f0ffa853adc
nstxuE203609A01t020/N10/egn10w.7894E+01,BAD,BAD,KEEP_RULE_DECISION,,e2ba65cda785908781727dfa39fd90ec2786324460f44b51e7ca334e9f5ea7d2
nstxuE203653A02t025/N3/egn03w.1814E+02,GOOD,BAD,OVERRIDE,bad_continuum_crossing_tail,76a32304581abf0a33431e553f24bbcb6b9cd0f0f2d3efa5a0feb728a1c3f2dd
nstxuE203653A02t025/N6/egn06w.9409E+01,BAD,BAD,KEEP_RULE_DECISION,,f4fbae9d7774720ee220bd1f1cafcf44bbbcd701154305e977533acbc1664d59
nstxuE203653A02t025/N6/egn06w.1464E+02,BAD,BAD,KEEP_RULE_DECISION,,dd2a6c8a5f796cd9f2f7b289ca774a0bf36ffd14fa029d2ec67ee28bcfeb8230
nstxuE203653A02t025/N6/egn06w.1872E+02,BAD,BAD,KEEP_RULE_DECISION,,8ba93c471de8b3711cd67f704c3ea8fada480bad5c81123166fa9e0732b172ab
nstxuE203653A02t025/N6/egn06w.2822E+02,BAD,BAD,KEEP_RULE_DECISION,,c57cc2cac70c952fd8c83ccef6275f6630a59ded0c6baf4477f858f18829f173
nstxuE203653A02t025/N7/egn07w.3243E+02,BAD,BAD,KEEP_RULE_DECISION,,337102b3ddcc848aeccc9907430ae534514a54ed28c25aa7648cb20c1eb6ed91
nstxuE203653A02t025/N9/egn09w.8446E+01,BAD,BAD,KEEP_RULE_DECISION,,41a1269d5634235f631206d3e6f443793747fed97be4ca20c7a3b0f72b3213fa
nstxuE203653A02t025/N9/egn09w.1057E+02,BAD,BAD,KEEP_RULE_DECISION,,9680afdc89ac3db76b302bdd79130f8237d52459247d4cbcc86c8899a953dd5e
nstxuE203653A02t025/N10/egn10w.9117E+01,BAD,BAD,KEEP_RULE_DECISION,,11be7ac1e1aad6c2df232c816a0c9696632bd5f033513455daae55f44c7b9a94
nstxuE203653A02t025/N10/egn10w.9963E+01,BAD,BAD,KEEP_RULE_DECISION,,c9bebacf8a02f0db6b2ce430f37b67ee722de18617aaca8c0cba781ebca29c12
nstxuE203653A02t025/N10/egn10w.1129E+02,BAD,BAD,KEEP_RULE_DECISION,,977adbf9baff04dc2f1617d9cb930d51e36bf75e7bdd53215052a6cac44fe65b
nstxuE203653A02t025/N10/egn10w.1194E+02,BAD,BAD,KEEP_RULE_DECISION,,e6bccbfa7e15f46ae0bff360baed147931fa99906f506ffc3907f0eade9c0e82
nstxuE203655F01t025/N1/egn01w.8493E+01,GOOD,GOOD,KEEP_RULE_DECISION,,954089d2233dd5d1e5f99782a6a99341be2f51d161f793e6c6000609b1fa5325
nstxuE203655F01t025/N1/egn01w.8834E+01,GOOD,GOOD,KEEP_RULE_DECISION,,12cb238a7813bc470b9d539d23b7428b38a27e9344a91e754cdc1f3495738517
nstxuE203655F01t025/N1/egn01w.1170E+02,GOOD,GOOD,KEEP_RULE_DECISION,,ca8e408999d678236bf8354bce1b424e39b3b342a519131acd7ccfa749175fcd
nstxuE203655F01t025/N3/egn03w.8443E+01,BAD,GOOD,OVERRIDE,axis spike is part of mode structure,914894243980b78ffb4338edf7e0f42d8fc75353e83ce14cc0e3904d1d664213
nstxuE203655F01t025/N3/egn03w.1987E+02,BAD,BAD,KEEP_RULE_DECISION,,6d4bd6a767bcd3206bc2208125e85bb992c2f2b592b374e1ae7a97b9f5d9f9fc
nstxuE203655F01t025/N5/egn05w.8681E+01,BAD,BAD,KEEP_RULE_DECISION,,326505bc09f4c1a57890c2e3b3421be9a1e5c55a25f2f7c117ebac792ae2ad48
nstxuE203655F01t025/N7/egn07w.8438E+01,BAD,BAD,KEEP_RULE_DECISION,,4ad59c0092f4faa373b9390ad3632758d79b5675f0980cc1cab69561e57afd61
nstxuE203655F01t025/N8/egn08w.8908E+01,BAD,BAD,KEEP_RULE_DECISION,,ec18791f3c07470e593ce82d28a003ea5077c013f8f5ab3d8e0d9b85319faa69
nstxuE203655F01t025/N8/egn08w.1015E+02,BAD,BAD,KEEP_RULE_DECISION,,a3bb4bb489697b9e69b3ac2835696ffbba26162cb26d8e0604b27d0a4ae8ba0e
nstxuE203655F01t025/N8/egn08w.1049E+02,BAD,BAD,KEEP_RULE_DECISION,,e337d03d71dc476210ba3c3352f1804e3785240df14a038a1d307df2dec16f75
nstxuE203655F01t025/N8/egn08w.1073E+02,BAD,BAD,KEEP_RULE_DECISION,,d477bd241a22c087da1be743f5843503db0e948b99b3091c83275169dbf7f6d2
nstxuE203655F01t025/N8/egn08w.1547E+02,BAD,BAD,KEEP_RULE_DECISION,,183097bbe9407ac34ebc298ab96072c7839fe415e14125068fcc88e2df59bf99
nstxuE203655F01t025/N9/egn09w.9260E+01,BAD,BAD,KEEP_RULE_DECISION,,061c68f24d0ffdd06a88f459eb182314ad9e99cc7ab6da0a714232f4257b5842
nstxuE203655F01t025/N9/egn09w.9525E+01,BAD,BAD,KEEP_RULE_DECISION,,07b91b37b8769ef5ecd8756dbd103ff622b79cbc70e516558869fa767b91971d
nstxuE203655F01t025/N9/egn09w.1107E+02,BAD,BAD,KEEP_RULE_DECISION,,99d02ec6aae0ca3b1b7233601a39df4f50621a6e4fd87b5fc28232c88ef49bf0
nstxuE203655F01t025/N9/egn09w.1166E+02,BAD,BAD,KEEP_RULE_DECISION,,eeaad49dadaa3333a2ac221fa5f1bfbfba8d5c83885963105a0b954204ea2463
nstxuE203655F01t025/N9/egn09w.1467E+02,BAD,BAD,KEEP_RULE_DECISION,,ef8b3db5e5d25bd151a3e673c3f63f225b66822dac6bc7205f715d15bf90b461
nstxuE203655F01t025/N9/egn09w.1591E+02,BAD,BAD,KEEP_RULE_DECISION,,6f6eee62e730aa1369453eb6680dbccc4108436ad7965329c3d8ed16aa587284
nstxuE203655F01t025/N9/egn09w.1872E+02,BAD,BAD,KEEP_RULE_DECISION,,8a278c92170363cad4db9bed62bf2776f0a29fdb09cf282b0d16806e3cfaf90f
nstxuE203655F01t025/N10/egn10w.9290E+01,BAD,BAD,KEEP_RULE_DECISION,,4bb97364868e77a5425b13e535677adeb82d07be9c75834a22cd60b39334cf0d
nstxuE203655F01t025/N10/egn10w.1071E+02,BAD,BAD,KEEP_RULE_DECISION,,bda4e1a88ee781f50cbf6e3ec3f3761c8deb7989b368215aa161bc34ca67f699
nstxuE203655F01t025/N10/egn10w.1224E+02,BAD,BAD,KEEP_RULE_DECISION,,7e7d0fbabe2f9f4e18d8757d64f57e25218e01604baf0fcea6dfe8da8ac732a0
nstxuE203655F01t025/N10/egn10w.1313E+02,BAD,BAD,KEEP_RULE_DECISION,,bcda54c254b6141471c917bd91452d2b15ec7e38cbea05cc72187c1d080bf826
nstxuE203655F01t025/N10/egn10w.1739E+02,BAD,BAD,KEEP_RULE_DECISION,,7a6eab6f6b442f786f81eabf5917464466e3c5b047542676825115a2a3cd0ed7
nstxuE203655F01t025/N10/egn10w.1897E+02,BAD,BAD,KEEP_RULE_DECISION,,4ea77235f07cc96f95f84aab38f5080ae12befbc08a2378134608c532c72107e
nstxuE203656A02t030/N2/egn02w.8304E+01,GOOD,GOOD,KEEP_RULE_DECISION,,ec338dc99ed15c4d5372e9e1a6aac8a8b4205ea31dab2628717bd988eb9fd77c
nstxuE203656A02t030/N2/egn02w.8376E+01,GOOD,GOOD,KEEP_RULE_DECISION,,43f45cd3c4f9f68ffe333258970c78f3e1191ad5986b814a775c4ddcbfaa40cb
nstxuE203656A02t030/N7/egn07w.8629E+01,BAD,BAD,KEEP_RULE_DECISION,,34ca4b17ddc2ffc9d5ef762472ef9d2968859df653cb24e9ae570dae0a2358f8
nstxuE203656A02t030/N8/egn08w.7553E+01,BAD,BAD,KEEP_RULE_DECISION,,f3dceebc8626e53f93330bfe678925556dbb312e63d6dd7fb1f3982e188ac884
nstxuE203656A02t030/N8/egn08w.7626E+01,GOOD,GOOD,KEEP_RULE_DECISION,,9f0038e27222c3fde489a1257abf3d3d4fd80cd73373b862309fb55953061a88
nstxuE203656A02t030/N8/egn08w.9190E+01,BAD,BAD,KEEP_RULE_DECISION,,9a480659914b5af6b56c626a5a940352522992a6465a4a62007aab2ff449a5e9
nstxuE203656A02t030/N9/egn09w.1023E+02,BAD,GOOD,OVERRIDE,smooth mode structure and continuum crossing in low shear region,ee1924f77596d609a6d4115a235a17c0decb5bc09567e8b7f7845ee6ef7a2b61
nstxuE203656A02t030/N10/egn10w.8654E+01,BAD,BAD,KEEP_RULE_DECISION,,ff4dfa649e3945326fa1dc9c6c2503fcc7474d17737be9d447f5cc219dd9254d
nstxuE203656A02t030/N10/egn10w.9010E+01,BAD,BAD,KEEP_RULE_DECISION,,c49b1891aa355b48ab15861b31bca2baf601cbd2c2cfd63a1287dd5f5747d3cb
nstxuE203656A02t030/N10/egn10w.9671E+01,GOOD,BAD,OVERRIDE,BAD_NEAR_AXIS_GRID_OSCILLATION,d194721d266bcab22025447927e72a2afc74719d25af20c1d11ccab7cf7720a6
nstxuE203963A01t025/N2/egn02w.4449E+01,BAD,BAD,KEEP_RULE_DECISION,,beb3fa0709eae4dd8b0ca6d15f3f519059386c343564f5e06df0aea42f5eaf45
nstxuE203963A01t025/N5/egn05w.4440E+01,BAD,BAD,KEEP_RULE_DECISION,,8a092a52cdb54d567530170bf3ed1745d8df924b32fbe16c71d24286a8aaef3d
nstxuE203963A01t025/N6/egn06w.4492E+01,BAD,BAD,KEEP_RULE_DECISION,,77f1a526c55d3a5d6bf280864a58ee5b4badda743853260affc27784f913108f
nstxuE203963A01t025/N6/egn06w.4648E+01,GOOD,GOOD,KEEP_RULE_DECISION,,ea86a3f416307f5a87bbc6f31fe205386672b9178c1fe122ffbf4ec4db1b2caa
nstxuE203963A01t025/N6/egn06w.7633E+01,GOOD,GOOD,KEEP_RULE_DECISION,,08887cd33b0c75b692af183a4796bb1e08a512ee6e3218a4b7abd5f335a44011
nstxuE203963A01t025/N7/egn07w.7672E+01,GOOD,GOOD,KEEP_RULE_DECISION,,5edc283ac6620fafe5b566a5b8854ff7ddccc8f52e6ce6c1cf00fcf7d598a120
nstxuE203963A01t025/N8/egn08w.9371E+01,BAD,BAD,KEEP_RULE_DECISION,,f1d556c8327db69de5c960238d21dcd0a574836a8414b0f2dfcf9c31db29c0e0
nstxuE203963A01t025/N9/egn09w.4623E+01,BAD,BAD,KEEP_RULE_DECISION,,0a08f43bbaaaf37bf9e9fd493f4b5b220a5e37967b73fda22ea3d754a3cf013e
nstxuE203963A01t025/N9/egn09w.8470E+01,BAD,BAD,KEEP_RULE_DECISION,,e6dea7de0665a8f6a1f0c327d337fb434467d6ce29ed5363112c22f1759c39aa
nstxuE203963A01t025/N10/egn10w.1077E+02,BAD,BAD,KEEP_RULE_DECISION,,7edb050c2b0f740e09fb9282d6f2ffb82da87009d6489b2d2249549e24d88ab4
nstxuE203981A01t025/N3/egn03w.6409E+01,BAD,BAD,KEEP_RULE_DECISION,,630cd120af3f763124af6ebc5ecd6fd12f6187dd0eb493ea0811d11f97cc93f9
nstxuE203981A01t025/N3/egn03w.6660E+01,GOOD,GOOD,KEEP_RULE_DECISION,,649b0cfcac7d9bf83c2472ae0f7916c312894984de726e636fb697b66c7387d2
nstxuE203981A01t025/N7/egn07w.6969E+01,BAD,BAD,KEEP_RULE_DECISION,,f6fe76259186fb2383ec5b75d8fb82b42e197c05bde6f3bcb71bdb0bf7812657
nstxuE203981A01t025/N7/egn07w.1264E+02,BAD,BAD,KEEP_RULE_DECISION,,4c0be278913dd195f0e6d234dafa52c94bfbbcbfdbb8dcff765342b461fa3924
nstxuE203981A01t025/N9/egn09w.6457E+01,BAD,BAD,KEEP_RULE_DECISION,,a2a94a7a785e630cbce1478c5cd901884b55470091411626b5d009c55acafd3d
nstxuE203981A01t025/N9/egn09w.7760E+01,BAD,BAD,KEEP_RULE_DECISION,,b333b283df342d08c4b5fffbf6c8ca2062592145d3a894a1d84279c3eb560d03
nstxuE203981A01t025/N9/egn09w.8250E+01,BAD,BAD,KEEP_RULE_DECISION,,c6be24c3fdb1d2846b85d0aab86552b109900488f76ba67ae8be6804e6595cc0
nstxuE203981A01t025/N9/egn09w.9278E+01,BAD,BAD,KEEP_RULE_DECISION,,88872b728a60b10ef2e324d544a58605f9c19f3e4b00e73e8a587f145408150f
nstxuE203981A01t025/N9/egn09w.2070E+02,BAD,BAD,KEEP_RULE_DECISION,,e6be299a96e5293f6d33134bcbf96d4508f136b149b6c9d6d72fe3bae1906844
nstxuE203981A01t025/N10/egn10w.7641E+01,BAD,BAD,KEEP_RULE_DECISION,,611130c20be606b5e38280834038423e13eafd861c4c76676af860a40503668a
nstxuE203981A01t025/N10/egn10w.2212E+02,BAD,BAD,KEEP_RULE_DECISION,,9235d01b1620d652822c28f967654725ba157ecc07abfe2d802bfc8f1bae1729
nstxuE204186A01t020/N2/egn02w.7370E+01,GOOD,GOOD,KEEP_RULE_DECISION,,f5501735f3962acb0d84f211d9766463c5b5b5f8230143a8ec1678484c76b292
