path,status,median_offset_grid,fraction_crossings_beyond_two_grid,note
nstx_135388/N1/egn01w.2424E+02,MATCHED,0.07516962807534755,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2439E+02,MATCHED,0.2472930352174636,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2504E+02,MATCHED,0.12708304105986956,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2514E+02,MATCHED,0.1449097829488486,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2525E+02,MATCHED,0.1524940111166213,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_141711/N1/egn01w.2616E+03,MATCHED,-62.65054505401999,1.0,SECONDARY_REVIEW: modest systematic inward offsets plus one crossing with no nearby logged singularity.
nstx_141711/N1/egn01w.2778E+03,MATCHED,-2.454847375626734,1.0,SECONDARY_REVIEW: modest systematic inward offsets plus one crossing with no nearby logged singularity.
nstx_141711/N1/egn01w.2858E+03,MATCHED,-2.3065738797643176,1.0,SECONDARY_REVIEW: modest systematic inward offsets plus one crossing with no nearby logged singularity.
nstx_141711/N1/egn01w.2872E+03,MATCHED,-2.6375102493712888,1.0,SECONDARY_REVIEW: modest systematic inward offsets plus one crossing with no nearby logged singularity.
nstx_141711/N1/egn01w.2903E+03,MATCHED,-4.120456368118286,1.0,SECONDARY_REVIEW: modest systematic inward offsets plus one crossing with no nearby logged singularity.
nstxuE205052A01t022/N1/egn01w.1625E+02,MATCHED,2.0480011481980642,1.0,NO_SYSTEMATIC_OFFSET_FOUND: 30/31 informative training crossings within two grid intervals; three modes have no crossings.
nstxuG121123B12/N1/egn01w.4164E+02,MATCHED,-59.97405812660447,1.0,"SPARSE_SUSPICIOUS: two N1 training modes; N2 also shows large discrepancies, so issue is not isolated to N1."
nstxuG121123B12/N1/egn01w.4181E+02,MATCHED,-60.69728604525896,1.0,"SPARSE_SUSPICIOUS: two N1 training modes; N2 also shows large discrepancies, so issue is not isolated to N1."
nstxuG142301H47/N1/egn01w.3450E+02,NO_LOGGED_SINGULARITIES,,,SPARSE_LOG_CONTINUUM_DISAGREEMENT: one N1 training mode; zero logged singularities but one datcon crossing.
nstxuG142301W29/N1/egn01w.1998E+02,MATCHED,-124.5949884842935,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2010E+02,MATCHED,5.490813858961885,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2016E+02,MATCHED,5.329527784433741,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2024E+02,MATCHED,5.116868106954464,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2041E+02,MATCHED,5.697569829080251,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2064E+02,MATCHED,6.092458010846902,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2079E+02,MATCHED,5.722774411097253,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2093E+02,MATCHED,6.348116776656765,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2121E+02,MATCHED,6.628832360011572,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2158E+02,MATCHED,6.676389170084174,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2182E+02,MATCHED,8.030382685512393,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2206E+02,MATCHED,8.379165863920468,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2503E+02,MATCHED,10.957934370765665,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301W29/N1/egn01w.2511E+02,MATCHED,10.543930384063295,1.0,PRIORITY_REVIEW: all 14 upper-boundary crossings shifted outwards by 5.12-10.96 grid intervals.
nstxuG142301Y93/N1/egn01w.1499E+02,MATCHED,-0.5561129415714294,0.6666666666666666,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.1613E+02,MATCHED,-1.6948111544586317,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.1674E+02,MATCHED,-1.0358878023762714,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.1715E+02,MATCHED,-1.6424309122165317,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.1732E+02,MATCHED,-1.9567014151727222,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.1894E+02,MATCHED,-1.7808457445937607,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.1902E+02,MATCHED,-1.5710753810971658,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.1937E+02,MATCHED,14.295015817553544,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.2146E+02,MATCHED,5.700022449938253,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.2168E+02,MATCHED,0.1182568749289401,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
nstxuG142301Y93/N1/egn01w.9416E+01,MATCHED,2.1245043739485103,1.0,PRIORITY_REVIEW: repeated offsets on inner and outer branches; signed average can cancel.
