path,label,w10_axis_peak,w10_axis_peak_r,w10_axis_halfmax_width_grid,energy_peak_r,energy_halfmax_width_grid,ext_dr,ext_df_gap,ext_energy_frac,w2_decision,w2_primary_reason
nstxuG121123J38/N8/egn08w.3062E+02,bad,0.3593240037196098,0.02,2.409938820018487,0.07,1.2699328041981761,0.0049999999999999906,0.016898111635130837,0.8136112919005707,REVIEW,NO_GOOD_TEMPLATE
nstxuG121123J38/N8/egn08w.3371E+02,bad,0.7599057206268336,0.02,2.105770464335066,0.08,4.311039691647422,0.0,0.03430714478853236,0.8235192912333053,REVIEW,NO_GOOD_TEMPLATE
nstxuG121123K51/N10/egn10w.4354E+02,bad,0.5237645489481559,0.03,4.425723571284175,0.045,1.1723857960542885,0.0049999999999999975,0.011578587448672005,0.9854904223729227,BAD,BAD_GRID_SCALE_SPIKE
nstxuG121123K51/N10/egn10w.4437E+02,good,0.21810349131640994,0.025,5.580593788023424,0.04,1.8810600516645293,0.0,0.020839602502605484,0.9968947819496686,REVIEW,NO_GOOD_TEMPLATE
nstxuG121123K51/N10/egn10w.4608E+02,bad,0.41140288525500524,0.005,2.1493373919408585,0.04,3.4654063100922325,0.0,0.014178843299860565,0.9488491760089303,BAD,BAD_GRID_SCALE_SPIKE
nstxuG142301H47/N2/egn02w.2038E+02,bad,0.3822202140592951,0.005,2.6497341502811538,0.105,4.954465880498413,0.01999999999999999,0.002270828188029162,0.1668799908801324,BAD,BAD_GRID_SCALE_SPIKE
nstxuG142301H47/N9/egn09w.2352E+02,bad,0.5878924269305168,0.025,3.800358101241423,0.035,1.2650828494918873,0.0050000000000000044,0.03274421515161506,0.999471622289506,REVIEW,NO_GOOD_TEMPLATE
nstxuG142301W29/N10/egn10w.2712E+02,bad,0.5576145085457374,0.015,2.131136109381101,0.215,4.189547734515853,0.0,0.032218401011281504,0.4031911391680954,BAD,BAD_GRID_SCALE_SPIKE
nstxuG142301W29/N10/egn10w.2908E+02,bad,0.5468945595990384,0.02,2.178852610323924,0.36,1.115125176934939,0.0,0.002203899048171684,0.2647848049043624,BAD,BAD_GRID_SCALE_SPIKE
nstxuG142301W29/N4/egn04w.2053E+02,bad,0.26358608746172535,0.025,5.79426328130025,0.145,2.042742543121373,0.0,4.3687719793105386e-05,0.7503358298664832,BAD,BAD_GRID_SCALE_SPIKE
nstxuG142301W29/N4/egn04w.2117E+02,bad,0.6168137648143249,0.005,2.4862316039130836,0.145,5.766074353953942,0.0,0.015374990482363711,0.43653261183882497,REVIEW,NO_GOOD_TEMPLATE
nstxuG142301W29/N5/egn05w.2374E+02,bad,0.4647045317207323,0.03,3.5535145079850476,0.09,2.159922901431588,0.0049999999999999906,0.0002831673005801303,0.8733393718136667,REVIEW,NO_GOOD_TEMPLATE
nstxuG142301W29/N5/egn05w.2392E+02,bad,0.690150622139538,0.025,4.07432922893078,0.085,1.1713725019355359,0.0,0.0040866561374634566,0.5928933484484591,BAD,BAD_GRID_SCALE_SPIKE
nstxuG142301W29/N5/egn05w.2505E+02,good,0.5928328902805263,0.025,2.391009229833046,0.085,5.3921636652763585,0.0,0.026943921788263714,0.8547688296053719,REVIEW,NO_GOOD_TEMPLATE
nstxuG142301W29/N5/egn05w.2810E+02,bad,0.31969613288606114,0.02,4.213309137668511,0.255,7.4542905797905625,0.0,0.01712625573101528,0.4613441169103736,BAD,BAD_GRID_SCALE_SPIKE
nstxuG142301W29/N5/egn05w.2834E+02,bad,0.3397013497185627,0.02,4.22304164440005,0.255,5.950812650861104,0.0,0.012797107933306661,0.4634316205425364,BAD,BAD_CONT_CROSS_WINDOW
nstxuG142301W29/N5/egn05w.2892E+02,bad,0.4388715580093943,0.01,4.167482465082433,0.09,2.4202319870034046,0.0,0.002517338355797413,0.34599170503334203,BAD,BAD_CONT_CROSS_WINDOW
